transportmean_name,line_number,order_number,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
METRO,1,1:1,par_4_263,263,PINAR DE CHAMARTIN,Calle de Arturo Soria 330,40.48014,-3.6668,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,1,1:2,par_4_262,262,BAMBU,Calle del Bambú 14,40.47682,-3.67637,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,1,1:3,par_4_261,261,CHAMARTIN,Calle de Agustín de Foxá 40,40.47203,-3.68259,A,http://www.crtm.es,0,est_90_25,,2
METRO,1,1:4,par_4_1,1,PLAZA DE CASTILLA,Paseo de la Castellana 189,40.4669,-3.68917,A,http://www.crtm.es,0,est_90_21,,0
METRO,1,1:5,par_4_2,2,VALDEACEDERAS,Calle de Bravo Murillo 332,40.46442,-3.69506,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,1,1:6,par_4_3,3,TETUAN,Calle de Bravo Murillo 264,40.46055,-3.69825,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,1,1:7,par_4_4,4,ESTRECHO,Calle de Bravo Murillo 191,40.45429,-3.70302,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,1,1:8,par_4_5,5,ALVARADO,Calle de Bravo Murillo 138,40.45033,-3.70331,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,1,1:9,par_4_6,6,CUATRO CAMINOS,Gta de Cuatro Caminos 2,40.44697,-3.70397,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,1,1:10,par_4_7,7,RIOS ROSAS,Calle de Ríos Rosas 22,40.44198,-3.70133,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,1,1:11,par_4_8,8,IGLESIA,Gta del Pintor Sorolla 2,40.43492,-3.69898,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,1,1:12,par_4_9,9,BILBAO,Calle de Sagasta 2,40.42906,-3.70218,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,1,1:13,par_4_10,10,TRIBUNAL,Calle de Fuencarral 81,40.42619,-3.7011,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,1,1:14,par_4_11,11,GRAN VIA,Calle   Gran Vía 23,40.42001,-3.7018,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,1,1:15,par_4_12,12,SOL,Plaza de la Puerta del Sol 6,40.41688,-3.70326,A,http://www.crtm.es,0,est_90_58,,1
METRO,1,1:16,par_4_13,13,TIRSO DE MOLINA,Plaza de Tirso de Molina 7,40.41235,-3.70466,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,1,1:17,par_4_14,14,ANTON MARTIN,Calle de Atocha 50,40.41246,-3.69937,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,1,1:18,par_4_15,15,ESTACION DEL ARTE,Plaza del Emperador Carlos V 11,40.40885,-3.69249,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,1,1:19,par_4_16,16,ATOCHA-RENFE,Avda de la Ciudad de Barcelona 2 B,40.40659,-3.68938,A,http://www.crtm.es,0,est_90_54,,2
METRO,1,1:20,par_4_17,17,MENENDEZ PELAYO,Avda de la Ciudad de Barcelona 23,40.40445,-3.68098,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,1,1:21,par_4_18,18,PACIFICO,Avda de la Ciudad de Barcelona 79,40.40126,-3.67514,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,1,1:22,par_4_19,19,PUENTE DE VALLECAS,Avda de la Albufera 1,40.39819,-3.66906,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,1,1:23,par_4_20,20,NUEVA NUMANCIA,Avda de la Albufera 70,40.39554,-3.66414,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,1,1:24,par_4_21,21,PORTAZGO,Avda de la Albufera 131,40.39266,-3.65868,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,1,1:25,par_4_22,22,BUENOS AIRES,Avda de la Albufera 179,40.39156,-3.65391,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,1,1:26,par_4_23,23,ALTO DEL ARENAL,Calle de Santillana del Mar 21,40.38977,-3.64522,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,1,1:27,par_4_24,24,MIGUEL HERNANDEZ,Calle de León Felipe 4 A,40.38732,-3.63951,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,1,1:28,par_4_25,25,SIERRA DE GUADALUPE,Avda de la Democracia 1,40.38216,-3.62472,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,1,1:29,par_4_26,26,VILLA DE VALLECAS,Paseo de Federico García Lorca 2,40.3796,-3.6213,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,1,1:30,par_4_27,27,CONGOSTO,Calle del Congosto 48,40.37238,-3.61884,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,1,1:31,par_4_293,293,LA GAVIA,Avda del Ensanche de Vallecas 16,40.37019,-3.61346,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,1,1:32,par_4_294,294,LAS SUERTES,Calle de Cañada del Santísimo 45,40.36323,-3.59953,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,1,1:33,par_4_295,295,VALDECARROS,Avda del Ensanche de Vallecas 120 A,40.36007,-3.59316,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,2,2:1,par_4_325,325,LAS ROSAS,Paseo de Ginebra 35,40.42375,-3.60331,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:2,acc_4_323_1062,323,Avenida de Guadalajara,Avda de Guadalajara 2,40.41864,-3.62319,,http://www.crtm.es,2,est_4_323,,0
METRO,2,2:3,par_4_323,323,ALSACIA,Plaza de Alsacia S/N,40.41829,-3.62351,,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:4,par_4_322,322,LA ALMUDENA,Calle de Arriaga 75,40.42361,-3.63914,,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:5,par_4_260,260,LA ELIPA,Avda del Marqués de Corbera 58,40.42662,-3.65052,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,2,2:6,par_4_28,28,VENTAS,Calle de Alcalá 204,40.43088,-3.66366,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:7,par_4_29,29,MANUEL BECERRA,Plaza de Manuel Becerra 1,40.4279,-3.66926,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:8,par_4_30,30,GOYA,Calle de Alcalá 96,40.42455,-3.67591,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,2,2:9,par_4_31,31,PRINCIPE DE VERGARA,Calle de Alcalá 123,40.42294,-3.68012,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:10,par_4_32,32,RETIRO,Calle de Alcalá 81,40.42031,-3.68624,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:11,par_4_33,33,BANCO DE ESPAÑA,Calle de Alcalá 49,40.41922,-3.69497,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:12,par_4_34,34,SEVILLA,Calle de Alcalá 23,40.41805,-3.69925,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:13,par_4_12,12,SOL,Plaza de la Puerta del Sol 6,40.41688,-3.70326,A,http://www.crtm.es,0,est_90_58,,1
METRO,2,2:14,par_4_36,36,OPERA,Plaza de Isabel II 9,40.41809,-3.70942,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:15,par_4_37,37,SANTO DOMINGO,Calle de San Bernardo 11,40.42132,-3.70796,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:16,par_4_38,38,NOVICIADO,Calle de San Bernardo 49,40.42484,-3.70742,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:17,par_4_39,39,SAN BERNARDO,Calle de San Bernardo 94,40.43001,-3.70557,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:18,par_4_40,40,QUEVEDO,Gta de Quevedo 1,40.43322,-3.70433,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:19,par_4_41,41,CANAL,Calle de Bravo Murillo 40,40.43841,-3.70433,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,2,2:20,par_4_6,6,CUATRO CAMINOS,Gta de Cuatro Caminos 2,40.44697,-3.70397,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:1,par_4_273,273,VILLAVERDE ALTO,Calle del Valle de Tobalina 56,40.34123,-3.71199,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:2,par_4_272,272,SAN CRISTOBAL,Avda de Andalucía 81,40.34154,-3.69318,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:3,par_4_271,271,VILLAVERDE BAJO-CRUCE,Avda de Andalucía 38,40.35089,-3.69265,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:4,par_4_270,270,CIUDAD DE LOS ANGELES,Avda de Andalucía 38,40.35959,-3.69363,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:5,par_4_269,269,SAN FERMIN-ORCASUR,Avda de Andalucía 9,40.36999,-3.69418,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:6,par_4_268,268,HOSPITAL 12 DE OCTUBRE,Avda de Córdoba 49,40.37503,-3.69585,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:7,par_4_267,267,ALMENDRALES,Avda de Córdoba 21,40.38409,-3.69788,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:8,par_4_43,43,LEGAZPI,Plaza de Legazpi 2 B,40.39116,-3.69511,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:9,par_4_44,44,DELICIAS,Paseo de las Delicias 60,40.3999,-3.6942,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:10,par_4_45,45,PALOS DE LA FRONTERA,Calle de Palos de la Frontera 33,40.40307,-3.69423,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:11,par_4_46,46,EMBAJADORES,Gta de Embajadores 10,40.40513,-3.70268,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:12,par_4_47,47,LAVAPIES,Plaza de Lavapiés 7,40.40851,-3.7009,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:13,par_4_12,12,SOL,Plaza de la Puerta del Sol 6,40.41688,-3.70326,A,http://www.crtm.es,0,est_90_58,,1
METRO,3,3:14,par_4_49,49,CALLAO,Plaza del Callao 3,40.42014,-3.70566,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:15,par_4_50,50,PLAZA DE ESPAÑA,Plaza de España 1,40.42342,-3.7112,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:16,par_4_51,51,VENTURA RODRIGUEZ,Calle de la Princesa 22,40.42709,-3.71341,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:17,par_4_52,52,ARGÜELLES,Calle de Alberto Aguilera 72,40.43066,-3.71596,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,3,3:18,par_4_53,53,MONCLOA,Plaza de la Moncloa 1,40.43502,-3.71945,A,http://www.crtm.es,0,est_90_14,,2
METRO,4,4:1,par_4_52,52,ARGÜELLES,Calle de Alberto Aguilera 72,40.43066,-3.71596,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:2,par_4_39,39,SAN BERNARDO,Calle de San Bernardo 94,40.43001,-3.70557,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:3,par_4_9,9,BILBAO,Calle de Sagasta 2,40.42906,-3.70218,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:4,par_4_57,57,ALONSO MARTINEZ,Plaza de Alonso Martínez 4,40.42772,-3.69594,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:5,par_4_58,58,COLON,Plaza de Colón 2,40.42542,-3.69101,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:6,par_4_59,59,SERRANO,Calle de Goya 19,40.42543,-3.68663,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:7,par_4_60,60,VELAZQUEZ,Calle de Núñez de Balboa 33,40.42503,-3.68292,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:8,par_4_30,30,GOYA,Calle de Alcalá 96,40.42455,-3.67591,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,4,4:9,par_4_62,62,LISTA,Calle del Conde de Peñalver 45,40.42917,-3.67541,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:10,par_4_63,63,DIEGO DE LEON,Calle de Diego de León 69,40.43468,-3.67495,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:11,par_4_64,64,AVENIDA DE AMERICA,Avda de América 9 A,40.43803,-3.67664,A,http://www.crtm.es,0,est_90_4,,0
METRO,4,4:12,par_4_65,65,PROSPERIDAD,Plaza de la Prosperidad 4,40.44419,-3.67482,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:13,par_4_66,66,ALFONSO XIII,Calle de López de Hoyos 190,40.44825,-3.66791,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:14,par_4_67,67,AVENIDA DE LA PAZ,Avda de Ramón y Cajal 107,40.45354,-3.66118,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:15,acc_4_263_645,263,Arturo Soria,Calle de Arturo Soria 330,40.4802,-3.66682,,http://www.crtm.es,2,est_4_263,,0
METRO,4,4:16,par_4_69,69,ESPERANZA,Calle de Andorra 51,40.45945,-3.64582,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:17,par_4_70,70,CANILLAS,Avda de Machupichu 64,40.46381,-3.6356,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,4,4:18,par_4_71,71,MAR DE CRISTAL,Gta del Mar de Cristal 1 B,40.46943,-3.63832,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,4,4:19,par_4_72,72,SAN LORENZO,Avda de la Barranquilla 9,40.47447,-3.63958,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,4,4:20,par_4_73,73,PARQUE DE SANTA MARIA,Calle de Santa Virgilia 1,40.47711,-3.64524,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,4,4:21,par_4_264,264,HORTALEZA,Calle del Capitán Cortés 4,40.47537,-3.65257,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,4,4:22,par_4_265,265,MANOTERAS,Calle de Bacares 24,40.47687,-3.6629,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,4,4:23,par_4_263,263,PINAR DE CHAMARTIN,Calle de Arturo Soria 330,40.48014,-3.6668,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,5,5:1,par_4_252,252,ALAMEDA DE OSUNA,Calle de la Corbeta 14,40.45779,-3.58752,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,5,5:2,par_4_253,253,EL CAPRICHO,Calle de Pinos de Osuna 15,40.45347,-3.59401,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,5,5:3,par_4_74,74,CANILLEJAS,Calle de Alcalá 631,40.44942,-3.60816,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:4,par_4_75,75,TORRE ARIAS,Calle de Alcalá 557,40.44374,-3.61699,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:5,par_4_76,76,SUANZES,Calle de Alcalá 527,40.44085,-3.62684,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:6,par_4_77,77,CIUDAD LINEAL,Calle de Arturo Soria 2,40.43805,-3.63816,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:7,par_4_78,78,PUEBLO NUEVO,Calle de Alcalá 372,40.43569,-3.64282,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:8,par_4_79,79,QUINTANA,Calle de la Virgen del Sagrario 2,40.43358,-3.64736,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:9,par_4_80,80,EL CARMEN,Calle de Raquel Méller 2,40.43189,-3.65757,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:10,par_4_28,28,VENTAS,Calle de Alcalá 204,40.43088,-3.66366,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:11,par_4_63,63,DIEGO DE LEON,Calle de Diego de León 69,40.43468,-3.67495,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:12,par_4_83,83,NUÑEZ DE BALBOA,Calle de Juan Bravo 20,40.43278,-3.68258,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:13,par_4_84,84,RUBEN DARIO,Paseo de Eduardo Dato 33,40.43316,-3.68954,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:14,par_4_57,57,ALONSO MARTINEZ,Plaza de Alonso Martínez 4,40.42772,-3.69594,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:15,par_4_86,86,CHUECA,Plaza de Chueca 7,40.42293,-3.69762,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:16,par_4_11,11,GRAN VIA,Calle   Gran Vía 23,40.42001,-3.7018,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:17,par_4_49,49,CALLAO,Plaza del Callao 3,40.42014,-3.70566,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,5,5:18,par_4_36,36,OPERA,Plaza de Isabel II 9,40.41809,-3.70942,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:19,par_4_90,90,LA LATINA,Calle de San Millán 5,40.41128,-3.70816,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:20,par_4_91,91,PUERTA DE TOLEDO,Gta de Puerta de Toledo 1,40.40704,-3.71105,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:21,par_4_92,92,ACACIAS,Paseo de las Acacias 20,40.40387,-3.70664,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:22,par_4_93,93,PIRAMIDES,Paseo del Doctor Vallejo Nágera 37,40.4026,-3.71138,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,5,5:23,par_4_94,94,MARQUES DE VADILLO,Gta del Marqués de Vadillo 4,40.39736,-3.71596,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:24,par_4_95,95,URGEL,Calle del Camino Viejo de Leganés 1,40.39335,-3.7236,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:25,par_4_96,96,OPORTO,Gta del Valle de Oro 13,40.38846,-3.73132,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:26,par_4_97,97,VISTA ALEGRE,Calle de la Oca 74,40.38885,-3.73982,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:27,par_4_98,98,CARABANCHEL,Gta del Ejército 1,40.38783,-3.74487,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:28,par_4_99,99,EUGENIA DE MONTIJO,Calle de Ocaña 86,40.38439,-3.75121,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,5,5:29,par_4_100,100,ALUCHE,Calle de Valmojado 293,40.38563,-3.7608,A,http://www.crtm.es,0,est_90_1,,2
METRO,5,5:30,par_4_101,101,EMPALME,Calle de Tembleque 105,40.39057,-3.76535,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,5,5:31,par_4_102,102,CAMPAMENTO,Avda del Padre Piquer 7,40.39481,-3.76813,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,5,5:32,par_4_103,103,CASA DE CAMPO,Ctra del Zoo 1,40.40324,-3.76101,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,6,6:1,par_4_104,104,LAGUNA,Calle de Cuart de Poblet 1,40.39923,-3.74429,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,6,6:2,par_4_105,105,CARPETANA,Calle   Vía Carpetana 141,40.3927,-3.74099,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,6,6:3,par_4_96,96,OPORTO,Gta del Valle de Oro 13,40.38846,-3.73132,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,6,6:4,par_4_107,107,OPAÑEL,Calle del Valle de Oro 50 A,40.3869,-3.72313,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,6,6:5,par_4_108,108,PLAZA ELIPTICA,Plaza de Fernández Ladreda 2,40.3846,-3.71837,A,http://www.crtm.es,0,est_90_36,,2
METRO,6,6:6,par_4_109,109,USERA,Calle de Amparo Usera 44,40.3871,-3.7069,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,6,6:7,par_4_43,43,LEGAZPI,Plaza de Legazpi 2 B,40.39116,-3.69511,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,6,6:8,par_4_259,259,ARGANZUELA-PLANETARIO,Calle del Bronce 1 A,40.3931,-3.68864,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,6,6:10,par_4_111,111,MENDEZ ALVARO,Calle del Ombu 16,40.39538,-3.67814,A,http://www.crtm.es,0,est_90_13,,0
METRO,6,6:11,par_4_18,18,PACIFICO,Avda de la Ciudad de Barcelona 79,40.40126,-3.67514,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,6,6:12,par_4_113,113,CONDE DE CASAL,Plaza del Conde de Casal 3,40.40697,-3.67041,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,6,6:13,par_4_114,114,SAINZ DE BARANDA,Calle del Doctor Esquerdo 103,40.41507,-3.66951,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,6,6:14,par_4_115,115,ODONNELL,Calle del Doctor Esquerdo 47,40.42289,-3.6686,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,6,6:15,par_4_29,29,MANUEL BECERRA,Plaza de Manuel Becerra 1,40.4279,-3.66926,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,6,6:16,par_4_63,63,DIEGO DE LEON,Calle de Diego de León 69,40.43468,-3.67495,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,6,6:17,par_4_64,64,AVENIDA DE AMERICA,Avda de América 9 A,40.43803,-3.67664,A,http://www.crtm.es,0,est_90_4,,0
METRO,6,6:18,par_4_119,119,REPUBLICA ARGENTINA,Calle de Joaquín Costa 24,40.44379,-3.68406,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,6,6:19,par_4_120,120,NUEVOS MINISTERIOS,Calle de Raimundo Fernández Villaverde 67,40.44662,-3.69241,A,http://www.crtm.es,0,est_90_71,,2
METRO,6,6:20,par_4_6,6,CUATRO CAMINOS,Gta de Cuatro Caminos 2,40.44697,-3.70397,A,http://www.crtm.es,0,,Europe/Madrid,2
